"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NODE_2222_length_11482_cov_60.627024-2",124.708227793207,1.03515120894347,0.208200118515313,4.97190499373961,6.62981949634748e-07,0.00225480161070778
"NODE_260_length_26148_cov_60.571724-15",4.60892123629174,-0.97138894567966,0.364088137127149,-2.66800493238928,0.00763031379049801,0.999961280601673
"NODE_2071_length_11775_cov_62.307935-1",51.1393870998306,-0.853198874383584,0.321713479618966,-2.65204577499863,0.00800056945657872,0.999961280601673
"NODE_59_length_43172_cov_62.156180-15",14.3471367885951,0.707457733317843,0.269743683229419,2.62270361569929,0.00872351238666863,0.999961280601673
"NODE_67_length_41225_cov_60.304202-22",10.4090885242502,0.768866886193162,0.298052294385409,2.57963753568341,0.00989040654881597,0.999961280601673
"NODE_2222_length_11482_cov_60.627024-13",4.76364535691356,-0.928285023684348,0.37697609104229,-2.4624506586552,0.0137991158151503,0.999961280601673
"NODE_744_length_17638_cov_66.294660-18",11.5492140663951,-0.730880909940548,0.297303867914165,-2.45836327346929,0.0139571911420018,0.999961280601673
"NODE_59590_length_1853_cov_59.111791-1",12.605329985514,-0.738614661352489,0.302109569257164,-2.44485688807745,0.0144909630349113,0.999961280601673
"NODE_2197_length_11525_cov_63.005144-2",11.848443332407,-0.695414384226589,0.290653916890623,-2.39258562783547,0.0167301237556602,0.999961280601673
"NODE_22476_length_3550_cov_63.611159-3",19.2775495338578,0.731147690980667,0.306453985920716,2.38583188527959,0.0170405388567088,0.999961280601673
"NODE_159_length_31574_cov_63.174403-10",4.7411195521282,-0.893808686421839,0.377248544745758,-2.36928332493425,0.0178225946173025,0.999961280601673
"NODE_67230_length_1698_cov_56.912355-1",1.58119660685842,0.952074900436034,0.407690806071938,2.33528665904729,0.0195284506354447,0.999961280601673
"NODE_5301_length_7782_cov_59.350071-3",4.5454909072776,-0.846629282110978,0.36648676511464,-2.31012239103954,0.02088137913013,0.999961280601673
"NODE_25868_length_3257_cov_62.231418-3",1.09924524066716,-0.875423035638684,0.379674511327975,-2.3057197929267,0.0211262944172598,0.999961280601673
"NODE_338_length_23707_cov_66.604981-23",1.71404037291691,-0.948340321674896,0.412238083056409,-2.30046752266003,0.0214217472159393,0.999961280601673
"NODE_332_length_23800_cov_60.200463-9",4.81429385218751,0.826444909581803,0.360996648232715,2.28934233497104,0.0220594697644946,0.999961280601673
"NODE_160_length_31468_cov_61.601280-19",10.1854138092472,-0.721698790140139,0.316448914856639,-2.28061704830649,0.0225711175879858,0.999961280601673
"NODE_1662_length_12985_cov_56.294741-3",22.7645267275783,0.554266127919291,0.243933257128096,2.27220402189042,0.023074190475881,0.999961280601673
"NODE_86561_length_1412_cov_69.823876-1",4.39690968472116,0.862193816395136,0.380848036598327,2.26387885335083,0.0235815669054976,0.999961280601673
"NODE_3177_length_9889_cov_57.765711-2",3.66489927046304,0.901612273628551,0.399991844646027,2.2540766410536,0.0241913468991735,0.999961280601673
"NODE_109884_length_1179_cov_70.398577-1",5.41122176153937,-0.792890056096138,0.351825097074519,-2.25364836871828,0.0242182978849267,0.999961280601673
"NODE_348_length_23458_cov_61.047216-21",0.967229972013291,-0.883551486567851,0.397848220718532,-2.22082553234024,0.0263627805444682,0.999961280601673
