"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NODE_7649_length_6492_cov_5.063228-3",0.00820154313228497,-1.26386817604192,0.548193730037351,-2.3055137386482,0.0211378182112627,0.887268995954567
"NODE_18211_length_4028_cov_4.938585-2",0.0132986630850507,-1.228755340915,0.54875965728757,-2.23915028117872,0.0251461395948357,0.887268995954567
"NODE_7688_length_6473_cov_7.077127-7",0.003645007596005,-1.19270514490066,0.548168572330422,-2.17579993655989,0.0295702234437112,0.887268995954567
"NODE_12305_length_5079_cov_4.384554-2",0.00380103963295228,-1.168167659977,0.548277369479926,-2.13061440249683,0.0331209220537976,0.887268995954567
"NODE_25917_length_3253_cov_4.875547-2",0.0286910894978162,-1.16689974397721,0.548304760243267,-2.12819553756836,0.0333208746695186,0.887268995954567
"NODE_20511_length_3757_cov_4.779849-3",8.73587187429004,-0.799960971879468,0.383402234320695,-2.0864796818329,0.036935193803195,0.887268995954567
"NODE_15004_length_4529_cov_4.947474-4",0.0161974809080524,-1.13995535199256,0.549149896195868,-2.07585462528426,0.0379073983994985,0.887268995954567
"NODE_2565_length_10858_cov_5.125428-3",0.0166216728304899,-1.10767632490355,0.549280265811808,-2.01659588710413,0.043737702586207,0.887268995954567
"NODE_12150_length_5111_cov_3.967959-6",0.00785233141991272,-1.1032845389282,0.548370500981348,-2.01193269323166,0.0442270325207825,0.887268995954567
"NODE_2448_length_11060_cov_5.510313-10",0.0319009113445182,-1.08979648932795,0.549036588443955,-1.98492507105325,0.0471528085596814,0.887268995954567
"NODE_22409_length_3556_cov_2.288489-2",0.0272397521261261,-1.06938665297732,0.546114800279629,-1.95817189431555,0.0502098458832989,0.887268995954567
"NODE_35878_length_2626_cov_3.860366-4",0.020135122965089,-1.01486288078375,0.550206740518335,-1.8445119007951,0.0651085730702439,0.887268995954567
"NODE_108853_length_1188_cov_3.829656-1",0.562193038956992,-0.977298135979234,0.536496612475225,-1.82162964919814,0.0685111990246976,0.887268995954567
"NODE_5290_length_7790_cov_6.443697-4",7.42125544321574,0.669251370884368,0.379305075958575,1.76441448665838,0.0776622209325419,0.887268995954567
"NODE_9111_length_5943_cov_4.481827-6",0.00281278319713598,-0.969042644772383,0.549742288390109,-1.76272167020328,0.077947444031655,0.887268995954567
"NODE_15451_length_4447_cov_4.280282-4",0.00285624543446462,-0.967032500102906,0.549780883803549,-1.7589416594711,0.0785874182871606,0.887268995954567
"NODE_40738_length_2410_cov_3.774522-3",0.113445375182444,-0.965096490531693,0.55122238914333,-1.75082962800472,0.0799752614545864,0.887268995954567
"NODE_17669_length_4107_cov_3.664610-2",0.00285613688819537,-0.961659606864744,0.549775895033035,-1.74918474155175,0.0802590907377378,0.887268995954567
"NODE_1238_length_14587_cov_5.195844-4",0.0028935301735071,-0.96080247872445,0.549809142377205,-1.74752001134473,0.0805471767877276,0.887268995954567
"NODE_2448_length_11060_cov_5.510313-3",0.0228058874916998,-0.926543930983354,0.549966127052328,-1.68472908677009,0.0920408519759132,0.887268995954567
"NODE_17315_length_4155_cov_5.442683-2",0.00323426107435162,-0.908318344278116,0.550043515171848,-1.6513572457887,0.0986656494774673,0.887268995954567
"NODE_10576_length_5494_cov_4.483177-6",0.0318474618686968,-0.885186633875914,0.548976736009315,-1.61243013740548,0.1068683711451,0.887268995954567
"NODE_77211_length_1537_cov_4.007422-1",2.40222682550925,0.853063828712338,0.532028219047175,1.6034183867918,0.108842314303118,0.887268995954567
"NODE_24168_length_3394_cov_4.661276-6",0.109135918158659,-0.87763643941994,0.550296552788585,-1.59484269885498,0.110747415994142,0.887268995954567
"NODE_4332_length_8567_cov_4.705357-6",0.0034596569514843,-0.877432800603121,0.550177659232401,-1.59481721200257,0.110753116928486,0.887268995954567
"NODE_26966_length_3171_cov_4.565469-4",0.00354580472122639,-0.866323936074912,0.550225076252109,-1.57449010135257,0.115374188184394,0.887268995954567
"NODE_23484_length_3457_cov_4.528807-2",0.0114904618917724,-0.856600236902991,0.549367621019831,-1.55924776802976,0.118937748904396,0.887268995954567
"NODE_41044_length_2398_cov_4.519846-1",0.0270980428047248,-0.841062591144952,0.548076366468966,-1.53457190019628,0.124889019386508,0.887268995954567
"NODE_52598_length_2026_cov_4.498732-3",0.123013362883094,-0.84282823157371,0.550155196757679,-1.53198267787143,0.125526709373292,0.887268995954567
"NODE_29895_length_2961_cov_4.109773-2",0.0635749224691291,-0.842820509159147,0.550768267614705,-1.53026337702656,0.125951549511158,0.887268995954567
"NODE_58249_length_1884_cov_5.041553-1",0.153714449536758,-0.837981671615396,0.548348373059205,-1.52819213621505,0.126464840674144,0.887268995954567
"NODE_29209_length_3005_cov_4.382373-3",0.00390182245678906,-0.82397132137858,0.550401085161494,-1.49703796666174,0.134383379323163,0.887268995954567
"NODE_20460_length_3762_cov_3.504721-1",0.0463468878641288,-0.818434913894086,0.550076771682935,-1.48785579763734,0.136788926911402,0.887268995954567
"NODE_35713_length_2634_cov_4.270648-2",0.00390689297788748,-0.817911513704142,0.550399416833094,-1.48603266771296,0.137270480384932,0.887268995954567
"NODE_9900_length_5687_cov_6.000533-5",0.133323755442833,-0.811361033374266,0.549586684650343,-1.47631130090146,0.139860341762067,0.887268995954567
"NODE_22807_length_3521_cov_3.924409-1",0.0180622809461273,-0.811540470432502,0.550136772727975,-1.47516128836162,0.140169186298551,0.887268995954567
"NODE_29528_length_2984_cov_3.246159-1",0.0188771999586105,-0.801573483485252,0.550201434106461,-1.45687276294913,0.145151505767072,0.887268995954567
"NODE_20983_length_3703_cov_4.739035-3",0.0759268620836362,-0.79632352830584,0.55021475286955,-1.44729584976185,0.147814081015905,0.887268995954567
"NODE_68336_length_1678_cov_4.330253-2",0.0126009571871719,-0.794497975089476,0.549615689028448,-1.44555184822672,0.148302940597969,0.887268995954567
"NODE_90458_length_1366_cov_4.106026-1",0.0170203113493413,-0.790557495987894,0.550082158904913,-1.43716258233445,0.150671802227866,0.887268995954567
"NODE_7832_length_6403_cov_3.804663-5",0.00416361229315692,-0.790499701699979,0.5505087037652,-1.43594405736614,0.151018260490303,0.887268995954567
"NODE_8779_length_6056_cov_4.407599-2",0.0900476520714197,-0.764993537007886,0.534939604845854,-1.43005589804539,0.152700976466911,0.887268995954567
"NODE_20511_length_3757_cov_4.779849-5",0.146152126035548,-0.782456927556841,0.547795798274179,-1.42837336471356,0.153184421397653,0.887268995954567
"NODE_27552_length_3126_cov_5.983067-1",0.0826889363719231,-0.77598213700137,0.543293623963547,-1.42829236857275,0.153207723480936,0.887268995954567
"NODE_34650_length_2686_cov_3.936906-1",0.0205584708808818,-0.772733176460157,0.550306154664733,-1.40418777785783,0.160262940392629,0.887268995954567
"NODE_43033_length_2325_cov_2.267401-1",0.00433861794489184,-0.773096335829795,0.55057585679698,-1.40415952912891,0.160271350256482,0.887268995954567
"NODE_107942_length_1196_cov_3.533742-1",0.017781216400488,-0.767362655773224,0.550203576966412,-1.39468859872583,0.163109764478476,0.887268995954567
"NODE_9806_length_5718_cov_4.280593-1",0.147143936860385,-0.76129470018038,0.547853531267829,-1.38959531467948,0.164651799313594,0.887268995954567
"NODE_17437_length_4137_cov_5.915973-2",0.0223455693132184,-0.758521063063192,0.550356779815494,-1.37823515741459,0.168130695777068,0.887268995954567
"NODE_10420_length_5539_cov_3.318381-1",0.0199438726767265,-0.757374365351165,0.55023297296922,-1.37646124924893,0.168678876557077,0.887268995954567
"NODE_6752_length_6918_cov_6.317208-1",0.0203372996667553,-0.745992442738067,0.5474366148067,-1.36270103708989,0.172976750864611,0.887268995954567
"NODE_26603_length_3198_cov_4.297168-2",0.0902944385317006,-0.721043831231952,0.535285471082825,-1.34702671786207,0.177971627896433,0.887268995954567
"NODE_9813_length_5715_cov_4.424735-4",0.00602844210248168,-0.736835142651408,0.551035823808215,-1.33718192323528,0.181163261000391,0.887268995954567
"NODE_19317_length_3890_cov_4.950978-2",0.00484871141174619,-0.727425189595749,0.550742424420376,-1.32080834404817,0.186565276822517,0.887268995954567
"NODE_33208_length_2764_cov_3.737911-2",0.00788486240122106,-0.727209467034589,0.55113763129133,-1.31946981252345,0.187012095792956,0.887268995954567
"NODE_6969_length_6812_cov_4.743081-5",0.00494445201694009,-0.725167675604581,0.550772460214391,-1.31663750094241,0.187960162288796,0.887268995954567
"NODE_1238_length_14587_cov_5.195844-9",0.0510970538819215,-0.723562368653824,0.550771115759126,-1.3137260614267,0.188938407399514,0.887268995954567
"NODE_81423_length_1478_cov_3.996486-1",0.03206111795357,-0.720033493882082,0.54959273300738,-1.31012193327602,0.190154589647458,0.887268995954567
"NODE_13764_length_4772_cov_4.512614-1",0.0629853914947462,-0.720537426758041,0.550860793953372,-1.30802089142512,0.190866223421987,0.887268995954567
"NODE_10745_length_5450_cov_4.073772-4",0.00683679771719074,-0.71963353357044,0.551138342647031,-1.30572213523406,0.191647067664223,0.887268995954567
"NODE_7832_length_6403_cov_3.804663-3",0.0253303913359763,-0.712895121636057,0.548340234593043,-1.30009632097331,0.193567958458909,0.887268995954567
"NODE_44804_length_2261_cov_6.958749-3",0.0623831749117259,-0.71264617942784,0.550078877601399,-1.2955345286758,0.195135898051835,0.887268995954567
"NODE_57999_length_1890_cov_4.071935-2",0.0873893564327828,-0.711584772961481,0.550075115112463,-1.29361382366115,0.195798845149872,0.887268995954567
"NODE_18506_length_3987_cov_4.393693-2",0.00505765068579098,-0.710597812554117,0.550799758163381,-1.29012005183803,0.19700897878937,0.887268995954567
"NODE_109052_length_1186_cov_5.984085-2",0.0689377891513745,-0.707485156551805,0.550089838050604,-1.28612656990534,0.198398892641883,0.887268995954567
"NODE_58249_length_1884_cov_5.041553-2",0.0463299773680753,-0.705484524175066,0.549088347516811,-1.28482880280658,0.198852114927745,0.887268995954567
"NODE_54197_length_1984_cov_3.947123-1",0.00518931510025901,-0.706078543870132,0.550835879782249,-1.28183106762989,0.199901913269998,0.887268995954567
"NODE_19642_length_3852_cov_2.836977-3",0.00512265680650694,-0.705559372974546,0.550816452639453,-1.28093372954562,0.200216944236319,0.887268995954567
"NODE_37104_length_2568_cov_4.390768-1",0.0284430286939807,-0.690225296539867,0.540588960830929,-1.27680242578194,0.201672008922799,0.887268995954567
"NODE_3762_length_9115_cov_4.418653-1",0.0201166132334685,-0.69757242325258,0.547623662792304,-1.27381716797206,0.202728219369984,0.887268995954567
"NODE_24815_length_3339_cov_3.501827-1",0.00519084636895372,-0.700369652101549,0.550833410510466,-1.27147271523074,0.203560528145712,0.887268995954567
"NODE_35529_length_2642_cov_5.994202-2",0.00520289612566963,-0.699462526197547,0.550836349387106,-1.26981911592402,0.204149069847357,0.887268995954567
"NODE_15909_length_4369_cov_3.546361-5",0.00528764466603951,-0.698765016750111,0.550859303466466,-1.26849998239641,0.204619457003732,0.887268995954567
"NODE_59825_length_1848_cov_5.781930-3",0.0517035279832446,-0.689784369590219,0.550056766274489,-1.25402396967516,0.209833293226796,0.887268995954567
"NODE_12469_length_5040_cov_4.881043-5",2.18473965672548,-0.687199731259384,0.548025275740884,-1.2539562711416,0.209857900143134,0.887268995954567
"NODE_41334_length_2387_cov_3.649228-1",0.0679449886706865,-0.688591960480051,0.550127871215145,-1.25169437236303,0.210681251500614,0.887268995954567
"NODE_32007_length_2832_cov_3.558156-1",0.00548606660392146,-0.68457501570701,0.550903275993978,-1.24264103253307,0.214000142320775,0.887268995954567
"NODE_57586_length_1899_cov_6.470174-2",0.00541202703796127,-0.684175424019878,0.550884706221414,-1.24195755716785,0.214252222069928,0.887268995954567
"NODE_21298_length_3668_cov_5.463604-2",0.051427977050876,-0.681438392924853,0.549333654514876,-1.24048178611347,0.214797246947589,0.887268995954567
"NODE_52725_length_2023_cov_4.440041-3",0.0341816574647986,-0.683226243584956,0.551223431452747,-1.23947242551775,0.215170594362907,0.887268995954567
"NODE_37872_length_2533_cov_3.038741-1",0.0163122290808638,-0.682219110410117,0.550531112422033,-1.23920173631737,0.215270797725771,0.887268995954567
"NODE_15319_length_4469_cov_3.372904-4",0.702224901350276,0.678665790245208,0.548027768884047,1.23837847054207,0.215575759758369,0.887268995954567
"NODE_6362_length_7122_cov_3.205745-3",0.00553974188882907,-0.680860760565847,0.550914451060388,-1.23587384439697,0.216505460712903,0.887268995954567
"NODE_48591_length_2141_cov_4.625599-1",0.0146319762398797,-0.671872370195264,0.543652190763683,-1.23584965095324,0.216514455212132,0.887268995954567
"NODE_26169_length_3233_cov_3.286973-5",0.0675017787117426,-0.67892868494242,0.550096734179133,-1.23419871953164,0.217128864466097,0.887268995954567
"NODE_18369_length_4006_cov_3.789167-5",0.00556432719981016,-0.679176498501825,0.550919471257862,-1.23280539885644,0.21764837660488,0.887268995954567
"NODE_99398_length_1273_cov_3.899015-1",0.0445708988158976,-0.671384559904307,0.55007977505543,-1.22052216851029,0.222266991004891,0.887268995954567
"NODE_5109_length_7931_cov_3.446293-10",0.0615915648835805,-0.669931506206916,0.550043734604607,-1.21796043488885,0.223239008310732,0.887268995954567
