3	Genetic Information Processing	Transcription	RNA
1	Cellular Processes	Cell growth and death	Cell
4	Metabolism	Nucleotide metabolism	Pyrimidine
1	Environmental Information Processing	Signal transduction	HIF-1
7	Metabolism	Global and overview maps	Biosynthesis
2	Genetic Information Processing	Folding, sorting and degradation	RNA
2	Metabolism	Amino acid metabolism	Valine,
1	Environmental Information Processing	Membrane transport	ABC
2	Metabolism	Global and overview maps	Microbial
2	Metabolism	Metabolism of other amino acids	beta-Alanine
6	Metabolism	Global and overview maps	Metabolic
2	Metabolism	Lipid metabolism	Fatty
3	Metabolism	Global and overview maps	Carbon
2	Metabolism	Carbohydrate metabolism	Propanoate
1	Metabolism	Energy metabolism	Methane
1	Metabolism	Amino acid metabolism	Phenylalanine
4	Metabolism	Nucleotide metabolism	Purine
1	Metabolism	Carbohydrate metabolism	Glycolysis
2	Metabolism	Global and overview maps	Fatty
