Genomic bins	9PM-2-mRNA	9AM-1-mRNA	9AM-6-mRNA	9PM-4-mRNA	9AM-2-mRNA	9AM-4-mRNA	9AM-3-mRNA	9AM-5-mRNA	9PM-6-mRNA	9PM-1-mRNA	ALL-mRNA	9PM-5-mRNA	9PM-3-mRNA
T17_Euhalothece_44_14	29.589867762	0.149356991189	0.0594889781708	2.1974927922	23.167037161	9.25512135672	0.247231359594	0.199737296154	50.7328854191	1.76912805119	11.9644545289	38.6240573444	0.555614533264
T17_Haloarculaceae_65_9	4.55111956587	1.2365067682	3.53849337607	3.93799871123	3.62625476717	3.43545727727	2.04136878063	3.85236794481	3.5403918717	3.11732190871	3.3568077377	4.55316355145	3.18029498922
T17_Halomicrobium_63_25	2.0861561257	3.260392644	3.03426719657	1.23321507303	1.09445915304	2.5185533305	2.92125683934	6.40133696224	2.68321875775	0.991645384724	2.69806822689	2.29284980123	4.37751031413
T17_Natronoarchaeum_66_4	0.550612828464	0.635016968358	1.24218711812	0.732154486364	0.487519376084	2.39241376592	0.970636045347	1.18267173191	1.81743524531	0.283874746185	0.992707756652	1.02226032078	1.13264699213
T17_Halovenus_63_8	0.793690536724	0.982172384779	1.9495609235	1.0658640142	2.2587498838	0.722665703887	0.994855590953	1.07471212778	0.590649283953	1.57929161833	1.43237250621	0.666077959922	3.80620189287
T17_Haloarculaceae_67_15	7.4122365154	1.40667020791	5.14473208342	4.07783076975	3.7373968943	2.70631288555	3.35160154598	4.69286984306	4.67627193225	4.52900639351	4.13149967867	4.87900344921	3.25468856701
T17_Halosimplex_69_9	115.372012482	141.528004756	70.9171676981	137.998831958	124.044250894	94.8188291744	73.0615036508	109.936147052	71.6114407505	98.9113369101	101.507748001	49.1441719356	95.8746610527
T17_Haloarculaceae_67_4	1.6183506403	0.998962186521	1.45837689053	0.981965178331	0.891822691071	1.4901331274	1.25782477674	2.39860949821	1.9572210548	1.35806067711	1.3720637634	1.21983491856	1.19209762727
T17_Dolichomastix_Chromosomes	26.4618893025	17.8449495489	18.542566041	24.2103217024	15.4436543474	16.3040176753	18.6243407114	33.753570755	43.9793452461	23.2179035714	24.120369757	31.2512600958	25.1808064052
T17_Dolichomastix_Chloroplast	1020.17707018	977.919687997	475.481456504	794.192588762	1167.83789632	737.023932317	1166.85935289	794.775344361	2165.74229802	1299.5504684	1000.84971779	730.475993925	658.504328438
T17_Nanohaloarchaea_62_2	0.669110013626	0.387521002157	0.0563158857746	0.52149736716	0.226399060731	0.137069790415	0.0600349224614	0.0885877442445	0.101495834603	0.274384936677	0.32259609845	0.719653550413	0.603350794778
T17_Ectothiorhodospiraceae_63_2	0.79563502379	0.124828703625	0.189884412745	2.27074841086	3.71975804151	0.538783705172	1.22769695457	0.110855042914	0.940480330057	0.243610167277	1.07082855966	0.65545110699	0.880521552234
T17_Haloarchaeobius_69_4	1.2931142428	1.66271465445	3.47411730635	1.35981208353	1.11480730704	1.87519108093	3.22866869744	2.5246357644	1.22480607139	0.519151035262	1.73055923425	1.44005968979	1.18114114152
T17_Halovenus_67_9	63.6536065539	145.317285299	108.461279985	222.771209722	374.28467563	66.9451634875	93.3924299368	63.8734424732	34.4505751826	441.318194208	179.340439644	122.699290274	297.579501289
T17_Halococcus_67_10	3.25767086889	3.52043707237	4.48319016369	1.79358984089	2.23226410045	5.56470350798	6.19312708925	1.75729465289	3.23113823867	1.15102166343	3.15958050611	2.83840645034	2.38415331677
T17_Halosimplex_67_13	7.12039589345	4.92146901074	6.28708689097	6.73199584168	7.96870724955	6.45301541352	5.52699671352	6.82319708924	7.86707640586	6.56479563584	6.75255679476	8.459776017	6.67056442376
T17_Haloplanus_67_12	2.94976909303	2.71718811425	4.75517380194	2.43205172851	2.29822232773	3.45068977386	2.47772585733	4.15005762121	2.57227102571	1.78233339149	2.8515912226	2.73201967767	2.33838916627
T17_Haloarculaceae_67_6	1.42675581664	4.64309476235	7.26141560819	2.36348102418	2.30185940781	8.10085693118	8.04386940063	5.49745611075	5.17796183374	3.47451632901	5.18497635122	8.0275445011	8.08267098982
T17_Euzebyales_72_6	3.74390763762	4.18826090622	3.79950726306	2.70210646275	2.59942508471	3.92576800045	2.52705866845	3.97562374345	4.73884565628	2.26106217577	3.64024818112	3.56849644227	6.09252239829
T17_Halorientalis_66_5	2.41413471724	2.36329715041	1.74613320814	2.59446432213	1.01139830024	2.39479952806	2.15067676413	4.5359013134	1.01062720723	0.782506508272	2.051105878	1.79266177707	1.80107139396
T17_Natronomonas_69_63	137.574546016	71.6959894585	155.085259044	116.385482091	123.477034722	85.8715018014	101.960742421	124.290623859	97.06145608	110.696500796	110.602757269	102.217254459	93.9024025154
T17_Halobacterium_70_12	1.70816932429	1.53620837367	1.80097986318	1.60393494031	0.678401331023	3.96804098653	1.55100762551	1.99127969646	0.994711606786	0.715844580081	1.66925671236	1.20316092602	2.56373363947
T17_Halobacteriaceae_68_4	0.156376963524	0.617744932521	0.329166965147	0.321695703731	0.31717417724	5.57307948625	0.239898408382	8.83706554814	0.680303858262	0.155051837167	1.47930598905	1.81104351871	0.536886193694
T17_Halobacteriaceae_65_4	2.14980523497	0.529302315541	0.740557960521	10.0420516368	1.58012046422	0.908401211804	1.70444503454	4.42177380334	2.725915812	1.78637284152	2.64336886571	1.94477690043	1.25124851082
T17_Nanohaloarchaea_46_6	0.210012877509	0.0907282435224	1.27609083119	0.118930707906	0.0989368128226	0.177638228985	0.208641224107	0.62307002579	0.237867940777	0.073878869074	0.337814001657	0.850727625514	0.405718461954
T17_Nanohaloarchaea_45_3	0.100684261518	0.0539183578061	0.693763417242	0.225040810554	0.166053064322	0.0747640735034	0.255552706593	0.236106690902	0.809079525057	0.193496227676	0.258455625812	0.326908507284	0.102712654097
T17_Dolichomastix_Mitochondria	369.669251125	339.062962946	208.701621806	335.611596625	438.248024756	262.713982894	421.948749079	252.747342787	714.603382055	394.095452933	353.616003281	269.67695983	210.320221714
T17_Halothece_48_61	23.8729374096	16.2373349157	32.588783195	14.3177133212	28.0897926303	35.6139698194	38.8393204893	14.0108126568	29.2622993408	44.8868090916	26.9706121533	17.2750977918	28.1604161629
T17_Nanohaloarchaea_41_10	0.708314576006	0.349210545229	1.266037806	0.222210052073	0.589174680855	2.4653834454	0.510942207275	0.245329272992	0.978101809782	0.648063517499	0.713321465525	0.687956581257	0.394222695138
T17_Salinibacter_61_3	1.00290959155	1.25198230461	2.86515066303	0.862781321145	1.10365276235	1.82863891784	1.77036958713	1.53630994703	1.12943310915	2.61981386569	1.54492129958	1.46296330042	1.42553610818
T17_Haloarculaceae_69_5	1.65639643954	1.6417153082	2.02820542252	1.29402784199	1.04190340479	1.52601122891	2.06399804623	1.79763180279	1.78977983552	0.889148326765	1.53964716531	1.4837634881	1.38347935052
T17_Haloarculaceae_66_4	1.49898411354	0.709041148075	1.14147322848	3.76693822786	0.784047305042	1.55795787551	1.46504619006	1.06661205675	1.13529228797	1.42648149813	1.52494301038	2.30365924484	1.1775161977
T17_Halococcus_65_7	5.78541535684	11.7998734325	5.84845001492	4.67326115348	1.32788729159	3.14486352399	5.48979623874	5.53985699958	3.68892314676	2.3162040237	5.1946171494	6.98549098141	6.28409175953
T17_Halorubrum_68_7	1.29115938851	1.37450957673	1.46882409191	0.768195081952	1.07630886101	1.59654295717	1.05074387313	0.527420132963	1.77146709087	0.522331677965	1.07721084575	0.999373978633	0.711781114174
T17_Halobacteriaceae_64_9	0.368394907885	0.331758837321	0.557573848883	0.358988178943	0.262095879325	0.446376959743	0.557051633514	0.467628713024	0.408094284627	0.194608078246	0.417195805878	0.46179712431	0.596696726716
T17_Haloarculaceae_66_11	3.63402343081	0.290746082788	1.64397547721	4.42016601782	5.13836916993	1.13763280215	0.54053521773	0.697163369018	3.95060415067	2.54676143262	2.76739476184	6.12087422332	3.04166979722
