#viral contig	predicted host	best hit	predicted taxonomy	closest relative
NODE_25_length_50921_cov_18.088035	Bacteroidetes	Klebsiella-pneumoniae-CG43	Caudovirales sp.	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella;Klebsiella pneumoniae
NODE_41_length_45895_cov_8.323364	Euryarchaeota	Halovirus-HHTV-1	Halovirus sp.	Viruses;dsDNA viruses, no RNA stage;unclassified archaeal dsDNA viruses;Haloviruses
NODE_49_length_43904_cov_4.253164	Euryarchaeota	Halovirus-HGTV-1	Halovirus sp.	Viruses;dsDNA viruses, no RNA stage;unclassified archaeal dsDNA viruses;Haloviruses
NODE_88_length_38391_cov_49.409432	Euryarchaeota	Halovirus-HHTV-2	Halovirus sp.	Viruses;dsDNA viruses, no RNA stage;unclassified archaeal dsDNA viruses;Haloviruses
NODE_126_length_34137_cov_34.674227	Euryarchaeota	Halorubrum-phage-CGphi46	Phage sp.	Viruses;dsDNA viruses, no RNA stage;unclassified archaeal dsDNA viruses
NODE_279_length_25580_cov_12.904878	Firmicutes	Bacillus-phage-BCD7	Myoviridae sp.	Viruses;dsDNA viruses, no RNA stage;Caudovirales;Myoviridae;unclassified Myoviridae
NODE_313_length_24379_cov_18.864414	Euryarchaeota	Halovirus-HCTV-1	Halovirus sp.	Viruses;dsDNA viruses, no RNA stage;unclassified archaeal dsDNA viruses;Haloviruses
NODE_316_length_24202_cov_26.956848	Euryarchaeota	Bacillus-phage-BCD7	Myoviridae sp.	Viruses;dsDNA viruses, no RNA stage;Caudovirales;Myoviridae;unclassified Myoviridae
NODE_330_length_23855_cov_32.749328	Euryarchaeota	Halovirus-HCTV-1	Halovirus sp.	Viruses;dsDNA viruses, no RNA stage;unclassified archaeal dsDNA viruses;Haloviruses
NODE_407_length_21776_cov_7.448782	Euryarchaeota	Haloarcula-hispanica-virus-SH1	Sphaerolipoviridae sp.	Viruses;dsDNA viruses, no RNA stage;Sphaerolipoviridae;Alphasphaerolipovirus
NODE_458_length_20833_cov_23.279767	Euryarchaeota	Halovirus-HHTV-2	Halovirus sp.	Viruses;dsDNA viruses, no RNA stage;unclassified archaeal dsDNA viruses;Haloviruses
