,VC,Size,Internal Weight,External Weight,Quality,P-value,Min Dist,Max Dist,Total Dist,Below Thres,Taxon Prediction Score,Avg Dist,Genera,Families,Orders,Members
0,VC_0_0,46,187789.21858295394,803.8200231834346,0.9957378065005773,2.8266508083339314e-140,2.449489742783178,7.874007874011811,1035,1035,1.0,6.426680780070812,1,1,1,"Mycobacterium~phage~Abrogate,Mycobacterium~phage~Aeneas,Mycobacterium~phage~Alsfro,Mycobacterium~phage~Alvin,Mycobacterium~phage~Barriga,Mycobacterium~phage~CASbig,Mycobacterium~phage~DD5,Mycobacterium~phage~Dreamboat,Mycobacterium~phage~Edtherson,Mycobacterium~phage~Gompeii16,Mycobacterium~phage~Graduation,Mycobacterium~phage~HanShotFirst,Mycobacterium~phage~Lamina13,Mycobacterium~phage~Makemake,Mycobacterium~phage~Nerujay,Mycobacterium~phage~Nhonho,Mycobacterium~phage~Papez,Mycobacterium~phage~Pari,Mycobacterium~phage~PattyP,Mycobacterium~phage~Pepe,Mycobacterium~phage~PhrostyMug,Mycobacterium~phage~Pinto,Mycobacterium~phage~RidgeCB,Mycobacterium~phage~Rufus,Mycobacterium~phage~SarFire,Mycobacterium~phage~Seabiscuit,Mycobacterium~phage~SkiPole,Mycobacterium~phage~Solon,Mycobacterium~phage~Tasp14,Mycobacterium~phage~TheloniousMonk,Mycobacterium~phage~Trouble,Mycobacterium~phage~Turj99,Mycobacterium~phage~U2,Mycobacterium~phage~Violet,Mycobacterium~phage~Wheeler,Mycobacterium~virus~Bethlehem,Mycobacterium~virus~Billknuckles,Mycobacterium~virus~Bruns,Mycobacterium~virus~Bxb1,Mycobacterium~virus~Doom,Mycobacterium~virus~Euphoria,Mycobacterium~virus~Jasper,Mycobacterium~virus~KBG,Mycobacterium~virus~Kugel,Mycobacterium~virus~Lockley,Mycobacterium~virus~Perseus"
1,VC_100_0,10,1671.0124706455122,1108.371331207301,0.6012168846675906,2.151301353282581e-23,1.7320508075688772,7.745966692414834,45,45,1.0,5.956153480979433,2,1,1,"Burkholderia~phage~JG068,Caulobacter~phage~Percy,Escherichia~phage~phiKT,Pseudomonas~phage~Andromeda,Pseudomonas~phage~Bf7,Ralstonia~phage~RSB1,Ralstonia~phage~RSJ2,Ralstonia~phage~RSJ5,Xylella~phage~Paz,Xylella~phage~Prado"
2,VC_102_0,4,805.4246197371422,1496.4335928990147,0.34990192502549744,2.0520242776860573e-05,4.795831523312719,8.602325267042627,6,6,1.0,7.211475500326828,1,1,1,"Clostridium~phage~CDMH1,Clostridium~phage~phiMMP01,Clostridium~phage~phiMMP03,Clostridium~virus~phiC2"
3,VC_102_1,2,125.92218652580208,968.2721563047838,0.1150821034223704,0.04944003616609494,6.557438524302,6.557438524302,1,1,1.0,6.557438524302,1,1,1,"Clostridium~phage~phiCDHM19,Clostridium~virus~phiCD119"
4,VC_102_2,3,395.3014679172154,1198.115405147165,0.24808414834781511,0.0020833697827071732,5.744562646538029,7.0710678118654755,3,3,1.0,6.5079447969676245,1,1,1,"Clostridium~phage~phiCD505,Clostridium~phage~phiMMP02,Clostridium~virus~phiCD27"
5,VC_103_0,25,30190.45765424819,838.3178844453852,0.9729825663471643,6.32103543366102e-50,1.4142135623730951,9.433981132056603,300,290,0.9666666666666667,7.17882431600945,6,1,1,"Citrobacter~virus~Stevie,Cronobacter~virus~Esp2949-1,Enterobacteria~phage~vB_EcoS_NBD2,Enterobacteria~phage~vB_EcoS_Rogue1,Escherichia~phage~ADB-2,Escherichia~phage~EB49,Escherichia~phage~e4/1c,Escherichia~phage~vB_EcoS_AHP42,Escherichia~phage~vB_EcoS_AHS24,Escherichia~phage~vB_EcoS_AKS96,Escherichia~phage~vB_Eco_ACG-M12,Escherichia~virus~KP26,Escherichia~virus~Rtp,Escherichia~virus~T1,Escherichia~virus~TLS,Klebsiella~phage~1513,Klebsiella~phage~KLPN1,Klebsiella~phage~KP36,Klebsiella~phage~PKP126,Klebsiella~phage~Sushi,Salmonella~phage~36,Salmonella~phage~phSE-2,Shigella~phage~pSf-1,Shigella~phage~pSf-2,Shigella~virus~Shfl1"
6,VC_104_0,2,140.90830905624497,663.7274036444065,0.17512062518739716,0.048269369059744695,6.782329983125268,6.782329983125268,1,1,1.0,6.782329983125268,1,1,1,"Cronobacter~phage~vB_CsaP_GAP52,Salmonella~phage~7-11"
7,VC_105_0,7,3162.010928359093,1133.572281063089,0.7361074792878775,1.1551816548571455e-13,3.605551275463989,7.0,21,21,1.0,5.744163291689128,1,1,1,"Gordonia~phage~Blueberry,Gordonia~phage~CaptainKirk2,Gordonia~phage~CarolAnn,Gordonia~phage~Guacamole,Gordonia~phage~Obliviate,Gordonia~phage~UmaThurman,Gordonia~phage~Utz"
8,VC_106_0,9,6521.417961870288,3304.1994398925017,0.6637158455508656,1.5447500118704542e-17,1.7320508075688772,4.898979485566356,36,36,1.0,3.503411982725831,2,1,1,"Enterobacter~phage~Enc34,Salmonella~phage~118970_sal1,Salmonella~phage~37,Salmonella~phage~BP12C,Salmonella~virus~Chi,Salmonella~virus~FSLSP030,Salmonella~virus~FSLSP088,Salmonella~virus~SPN19,Salmonella~virus~iEPS5"
9,VC_107_0,2,286.346343191888,10375.456628346,0.026857215797018674,0.05804324571655874,6.708203932499369,6.708203932499369,1,1,1.0,6.708203932499369,1,1,1,"Erwinia~phage~phiEa2809,Serratia~phage~phiMAM1"
