NODE_483_length_20558_cov_8.046140-8	KO:K14818	ribosome assembly protein SQT1	NA	NA	Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;Micromonas commoda;Micromonas pusilla NOUM17, RCC 299
NODE_938_length_16213_cov_6.736044-14	KO:K03363	cell division cycle protein 20 (cofactor of APC complex)	ko04111|ko04110|ko04120|ko04114|ko04113	Cellular Processes;Cell growth and death;Cell|Cellular Processes;Cell growth and death;Cell|Genetic Information Processing;Folding, sorting and degradation;Ubiquitin|Cellular Processes;Cell growth and death;Oocyte|Cellular Processes;Cell growth and death;Meiosis	Eukaryota
NODE_1029_length_15619_cov_6.996338-15	KO:K17065	dynamin 1-like protein	ko04217|ko04668|ko04139|ko04214	Cellular Processes;Cell growth and death;Necroptosis|Environmental Information Processing;Signal transduction;TNF|Cellular Processes;Transport and catabolism;Mitophagy|Cellular Processes;Cell growth and death;Apoptosis	Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;Micromonas commoda;Micromonas pusilla NOUM17, RCC 299
NODE_1074_length_15380_cov_7.954127-7	KO:K15100	solute carrier family 25 citrate transporter 1	NA	NA	Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;Micromonas commoda;Micromonas pusilla NOUM17, RCC 299
NODE_1141_length_15054_cov_7.764918-14	pfam16166	inner membrane import apparatus Tic20-like protein	pfam16166	NA	Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;Micromonas commoda;Micromonas pusilla NOUM17, RCC 299
NODE_1167_length_14896_cov_7.811401-10	KO:K03686	molecular chaperone DnaJ	NA	NA	Eukaryota;Streptophyta;unclassified Streptophyta
NODE_1167_length_14896_cov_7.811401-15	KO:K12821	pre-mRNA-processing factor 40	ko03040	Genetic Information Processing;Transcription;Spliceosome	Eukaryota;Streptophyta;unclassified Streptophyta
NODE_1167_length_14896_cov_7.811401-12	COG3785	heat shock protein HspQ	COG3785	NA	Eukaryota;Streptophyta;unclassified Streptophyta
NODE_1167_length_14896_cov_7.811401-13	pfam04832	SOUL heme-binding protein/uncharacterized protein DUF2358	pfam04832	NA	Eukaryota;Streptophyta;unclassified Streptophyta
NODE_1167_length_14896_cov_7.811401-1	Hypo-rule applied	hypothetical protein	Hypo-rule applied	NA	Eukaryota;Streptophyta;unclassified Streptophyta
NODE_1167_length_14896_cov_7.811401-11	Hypo-rule applied	hypothetical protein	Hypo-rule applied	NA	Eukaryota;Streptophyta;unclassified Streptophyta
NODE_1167_length_14896_cov_7.811401-14	Hypo-rule applied	hypothetical protein	Hypo-rule applied	NA	Eukaryota;Streptophyta;unclassified Streptophyta
NODE_1167_length_14896_cov_7.811401-16	Hypo-rule applied	hypothetical protein	Hypo-rule applied	NA	Eukaryota;Streptophyta;unclassified Streptophyta
NODE_1167_length_14896_cov_7.811401-17	Hypo-rule applied	hypothetical protein	Hypo-rule applied	NA	Eukaryota;Streptophyta;unclassified Streptophyta
NODE_1167_length_14896_cov_7.811401-10	KO:K03686	molecular chaperone DnaJ	NA	NA	Eukaryota;Streptophyta;unclassified Streptophyta
NODE_1174_length_14852_cov_7.491721-11	KO:K03978	GTP-binding protein	NA	NA	Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales
NODE_1174_length_14852_cov_7.491721-1	COG0451	nucleoside-diphosphate-sugar epimerase	COG0451	NA	Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales
NODE_1174_length_14852_cov_7.491721-10	pfam14336	uncharacterized protein DUF4392	pfam14336	NA	Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales
NODE_1174_length_14852_cov_7.491721-12	Hypo-rule applied	hypothetical protein	Hypo-rule applied	NA	Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales
NODE_1174_length_14852_cov_7.491721-13	Hypo-rule applied	hypothetical protein	Hypo-rule applied	NA	Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales
NODE_1174_length_14852_cov_7.491721-14	Hypo-rule applied	hypothetical protein	Hypo-rule applied	NA	Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales
NODE_1443_length_13779_cov_7.443311-14	COG0025	NhaP-type Na+/H+ or K+/H+ antiporter	COG0025	NA	Eukaryota;Streptophyta;unclassified Streptophyta
NODE_1548_length_13352_cov_8.235692-11	COG5049	5'-3' exonuclease/5'-3' exonuclease/5'-3' exonuclease	COG5049	NA	Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales
NODE_1693_length_12842_cov_6.911473-8	COG0484	DnaJ-class molecular chaperone	COG0484	NA	Eukaryota
NODE_1758_length_12615_cov_7.617994-2	KO:K03178	ubiquitin-activating enzyme E1	ko04120	Genetic Information Processing;Folding, sorting and degradation;Ubiquitin	Eukaryota;Chlorophyta;Trebouxiophyceae
NODE_1758_length_12615_cov_7.617994-10	KO:K01358	ATP-dependent Clp protease protease subunit	ko04112	Cellular Processes;Cell growth and death;Cell	Eukaryota;Chlorophyta;Trebouxiophyceae
NODE_1773_length_12557_cov_7.896737-6	KO:K17680	twinkle protein	NA	NA	Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas
NODE_1775_length_12549_cov_7.074436-12	KO:K14776	ATP-dependent RNA helicase DDX10/DBP4	NA	NA	Eukaryota;Chlorophyta;Trebouxiophyceae
NODE_1802_length_12485_cov_7.196299-1	KO:K10858	DNA mismatch repair protein PMS2	ko03460|ko03430	Genetic Information Processing;Replication and repair;Fanconi|Genetic Information Processing;Replication and repair;Mismatch	Eukaryota;Streptophyta;unclassified Streptophyta
NODE_1802_length_12485_cov_7.196299-10	pfam00566	Rab-GTPase-TBC domain-containing protein	pfam00566	NA	Eukaryota;Streptophyta;unclassified Streptophyta
NODE_1957_length_12026_cov_7.500042-5	KO:K14209	proton-coupled amino acid transporter	ko04138	Cellular Processes;Transport and catabolism;Autophagy	Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Bathycoccaceae;Ostreococcus;Ostreococcus sp. 'lucimarinus';Ostreococcus lucimarinus CCE9901
NODE_2343_length_11257_cov_6.368952-8	COG2214	curved DNA-binding protein CbpA	COG2214	NA	Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Bathycoccaceae;Ostreococcus;Ostreococcus sp. 'lucimarinus';Ostreococcus lucimarinus CCE9901
NODE_2927_length_10237_cov_6.713710-7	COG2319	WD40 repeat protein	COG2319	NA	Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;Micromonas commoda;Micromonas pusilla NOUM17, RCC 299
NODE_3147_length_9924_cov_6.979228-9	COG1748	saccharopine dehydrogenase-like NADP-dependent oxidoreductase	COG1748	NA	Eukaryota;Chlorophyta
NODE_4060_length_8811_cov_7.014162-5	KO:K09512	DnaJ family protein B protein 6	NA	NA	Eukaryota
